0,2015-03-23,SV,149,49,111
1,2013-06-04,MJ,73,19,109
2,2014-05-10,SV,45,57,89
3,2016-06-06,MJ,210,60,203
4,2013-01-05,SV,74,61,153
5,2015-11-27,SV,198,35,10
6,2014-06-22,MJ,226,55,50
7,2014-03-12,MJ,60,61,124
8,2015-06-30,MN,144,52,243
9,2015-05-14,SV,210,46,5
10,2015-08-20,MJ,230,34,161
11,2015-09-06,SV,220,2,215
12,2013-03-20,SV,150,41,248
13,2016-07-29,SV,7,64,171
14,2016-01-05,MJ,136,32,233
15,2013-07-02,MJ,204,65,233
16,2016-12-11,MN,143,20,154
17,2013-05-31,MN,159,54,25
18,2014-08-27,MN,68,38,116
19,2016-12-16,MN,12,56,19
20,2015-04-19,MN,7,49,20
21,2013-07-27,MJ,110,63,209
22,2015-05-18,MN,151,21,218
23,2015-07-16,MJ,196,53,223
24,2013-11-03,MJ,139,52,182
25,2014-10-26,SV,178,35,175
26,2013-10-20,MJ,132,54,198
27,2013-07-27,MN,57,45,161
28,2015-08-17,SV,244,56,45
29,2013-08-26,MJ,174,51,69
30,2016-06-20,MJ,37,5,194
31,2015-06-09,MN,105,52,31
32,2013-04-21,MN,63,50,169
33,2016-02-08,MJ,135,32,240
34,2013-12-12,MJ,138,58,119
35,2016-09-14,SV,235,50,111
36,2016-06-29,SV,183,59,140
37,2014-03-08,SV,74,63,244
38,2016-06-12,SV,23,64,110
39,2014-09-11,MN,88,61,193
40,2016-05-30,SV,166,0,216
41,2016-02-07,SV,97,36,139
42,2013-12-03,MN,153,12,14
43,2013-04-22,SV,121,15,195
44,2016-05-17,SV,103,42,219
45,2014-08-15,SV,78,9,211
46,2015-12-14,MJ,119,18,195
47,2016-03-03,MN,194,54,72
48,2014-12-11,MN,167,37,60
49,2015-12-06,MN,76,45,4
50,2013-08-14,SV,227,59,168
51,2016-05-28,SV,86,3,187
52,2016-09-21,MN,244,37,165
53,2014-05-14,SV,22,64,4
54,2016-08-08,SV,185,7,248
55,2016-08-28,SV,3,25,115
56,2016-09-10,SV,18,41,147
57,2015-07-07,MN,22,30,113
58,2014-06-12,MJ,61,28,148
59,2016-08-16,MJ,127,44,195
60,2014-03-06,MN,165,8,108
61,2013-12-02,SV,173,46,150
62,2015-04-16,MJ,64,11,15
63,2014-07-29,MN,102,55,74
64,2015-11-21,MJ,148,15,52
65,2015-12-11,MJ,62,63,175
66,2013-08-19,MJ,221,62,31
67,2016-12-13,MJ,157,18,11
68,2014-08-22,MJ,101,8,200
69,2013-10-07,MJ,229,1,62
70,2013-07-13,MN,86,65,211
71,2013-05-03,SV,160,62,242
72,2016-08-27,MJ,56,15,236
73,2015-06-21,MN,189,48,12
74,2014-04-21,MN,196,48,114
75,2016-12-25,MN,245,61,99
76,2013-07-06,SV,210,37,14
77,2013-03-13,MN,123,10,33
78,2013-03-06,SV,140,36,139
79,2016-11-05,MN,178,46,115
80,2015-07-14,SV,102,16,20
81,2015-08-26,MN,29,26,30
82,2013-10-22,SV,95,35,163
83,2016-06-03,SV,240,49,231
84,2015-03-25,SV,198,55,65
85,2016-10-20,SV,105,10,164
86,2016-08-26,SV,30,12,91
87,2015-09-15,MJ,47,4,37
88,2014-02-02,MN,129,43,96
89,2013-10-29,SV,162,41,4
90,2016-10-19,SV,211,2,94
91,2013-10-05,MJ,150,3,165
92,2015-07-08,MJ,39,29,103
93,2013-08-01,MJ,7,65,179
94,2016-11-23,MJ,155,4,26
95,2013-09-08,MJ,223,53,221
96,2013-10-17,MN,126,50,207
97,2014-12-11,SV,76,5,189
98,2013-07-19,MN,234,63,108
99,2015-07-24,SV,68,32,16
100,2014-08-29,MJ,37,24,128
101,2015-12-19,MJ,99,54,2
102,2015-06-11,SV,184,3,117
103,2013-03-18,MJ,71,65,242
104,2014-03-01,SV,81,52,25
105,2016-06-19,SV,104,61,11
106,2016-10-17,MJ,127,42,232
107,2014-11-13,MN,207,25,92
108,2014-11-10,MN,175,58,136
109,2013-12-04,MN,69,18,249
110,2015-04-25,SV,17,34,23
111,2013-12-10,MN,129,35,158
112,2015-06-28,MN,180,14,82
113,2014-06-16,MN,222,47,8
114,2015-05-10,SV,72,22,249
115,2013-01-11,MJ,68,65,211
116,2016-04-27,SV,26,22,143
117,2015-07-25,MJ,181,54,154
118,2016-04-25,MN,43,30,88
119,2015-04-05,MN,114,18,246
120,2013-08-11,MN,36,65,197
121,2014-07-15,MJ,248,44,177
122,2013-07-24,SV,18,20,160
123,2016-12-22,MJ,137,38,187
124,2014-10-15,MN,54,1,47
125,2014-02-19,SV,153,33,233
126,2014-02-13,MJ,42,41,72
127,2016-03-02,SV,134,33,116
128,2014-10-26,SV,157,20,195
129,2016-07-07,MJ,54,62,80
130,2015-05-30,MN,196,63,71
131,2014-01-10,MJ,198,13,131
132,2015-04-11,MJ,179,19,159
133,2013-02-05,MJ,218,35,20
134,2013-06-03,MJ,163,13,202
135,2013-08-10,SV,166,55,201
136,2016-07-02,MJ,40,5,195
137,2014-11-27,SV,25,55,23
138,2014-07-12,MJ,158,56,27
139,2015-09-26,MJ,112,52,15
140,2013-07-09,MN,226,18,178
141,2014-10-05,MJ,224,63,2
142,2015-07-01,MN,43,48,216
143,2015-12-10,SV,24,46,98
144,2015-04-28,MN,242,50,177
145,2013-09-25,MN,195,0,200
146,2014-11-01,MJ,236,62,224
147,2015-04-03,MN,167,50,172
148,2014-07-21,MJ,75,45,57
149,2013-12-03,MN,188,32,120
150,2015-05-07,MJ,30,50,109
151,2014-03-02,SV,229,4,84
152,2014-10-11,SV,19,16,92
153,2013-04-27,MJ,66,8,20
154,2014-05-25,MJ,26,6,99
155,2013-10-20,MJ,147,25,162
156,2015-01-20,MJ,78,50,172
157,2016-11-26,MJ,66,28,151
158,2015-01-19,SV,6,12,184
159,2016-02-12,MN,24,34,37
160,2015-12-21,MN,225,7,29
161,2015-05-28,SV,230,13,219
162,2015-07-17,MJ,209,22,111
163,2014-12-06,MJ,120,56,4
164,2013-11-11,SV,30,46,79
165,2014-09-03,MJ,78,31,244
166,2014-02-06,MN,99,65,25
167,2013-08-14,MJ,126,10,182
168,2014-07-24,MN,73,42,203
169,2016-02-16,SV,37,24,211
170,2016-12-08,SV,36,41,15
171,2013-04-22,SV,193,3,35
172,2014-02-14,MN,40,30,208
173,2015-03-09,SV,167,16,161
174,2015-10-10,SV,6,65,35
175,2015-07-27,MJ,84,25,30
176,2016-08-19,MJ,125,64,218
177,2013-07-25,MN,19,66,2
178,2016-08-20,MJ,248,10,52
179,2014-04-23,MN,123,39,91
180,2014-04-07,MJ,137,32,242
181,2015-03-12,MJ,95,28,157
182,2015-04-15,MJ,85,33,182
183,2015-11-11,MJ,157,46,223
184,2014-07-27,SV,23,5,87
185,2016-10-28,MN,200,8,53
186,2015-03-14,MN,240,34,61
187,2013-06-05,MN,81,33,160
188,2015-08-21,SV,77,17,155
189,2014-05-25,SV,12,54,163
190,2013-07-13,MJ,249,12,158
191,2015-08-20,MJ,28,22,129
192,2016-01-06,MJ,61,0,185
193,2015-10-10,MJ,90,3,145
194,2015-09-21,SV,118,29,50
195,2016-10-11,MJ,94,64,222
196,2013-11-14,MJ,141,51,236
197,2013-11-26,MN,246,66,132
198,2013-07-14,MN,4,30,59
199,2015-11-06,MJ,133,11,111
200,2015-11-02,MJ,217,45,246
201,2013-06-13,MJ,213,56,92
202,2014-07-10,MN,149,52,131
203,2014-05-14,MN,145,63,108
204,2015-08-14,SV,135,23,161
205,2014-05-21,MN,27,1,183
206,2016-09-09,MJ,195,48,211
207,2014-03-11,SV,91,2,45
208,2014-11-20,MJ,162,64,66
209,2014-08-23,MJ,34,60,108
210,2016-06-05,MN,161,23,47
211,2015-02-28,SV,6,38,97
212,2014-05-16,MN,169,56,104
213,2016-08-15,MN,179,41,201
214,2015-09-04,SV,227,46,174
215,2015-01-17,MJ,23,18,234
216,2014-01-18,MN,39,41,163
217,2015-03-29,MJ,190,2,36
218,2013-05-01,SV,244,2,232
219,2013-06-23,MJ,242,3,180
220,2016-11-30,SV,249,1,233
221,2014-02-13,MN,75,2,208
222,2013-07-09,MN,235,9,162
223,2014-07-29,MN,217,21,191
224,2015-04-27,MN,54,35,184
225,2015-04-25,SV,113,49,117
226,2013-07-16,MJ,63,54,196
227,2014-01-01,SV,111,19,88
228,2013-11-19,SV,31,15,102
229,2014-12-23,SV,242,46,38
230,2014-01-06,MN,249,48,15
231,2014-08-09,MN,73,22,128
232,2015-11-18,SV,188,58,178
233,2016-08-15,SV,102,33,110
234,2016-07-02,MJ,194,6,4
235,2015-03-25,MN,159,15,155
236,2013-03-10,MN,71,60,48
237,2013-08-24,MJ,129,38,247
238,2013-04-21,MJ,102,35,54
239,2016-01-15,SV,42,17,134
240,2014-04-04,MN,33,33,234
241,2013-11-06,SV,53,50,197
242,2013-07-18,SV,188,4,231
243,2015-02-23,SV,150,24,165
244,2013-09-28,MN,57,1,190
245,2015-02-26,MJ,21,34,242
246,2014-03-18,MJ,228,46,70
247,2013-05-21,MN,97,30,6
248,2014-09-25,MN,157,63,114
249,2016-05-19,SV,129,21,178
250,2014-04-21,MN,95,1,155
251,2015-12-13,SV,118,24,177
252,2014-08-11,MN,150,6,93
253,2013-05-11,SV,76,9,249
254,2015-05-02,SV,131,31,207
255,2013-08-21,SV,11,58,213
256,2016-11-14,MN,70,18,243
257,2014-04-26,SV,5,43,176
258,2013-11-17,SV,81,26,16
259,2013-07-03,SV,174,21,64
260,2015-08-30,MN,110,36,236
261,2016-08-07,SV,67,58,90
262,2015-10-25,MN,24,7,62
263,2014-01-19,MN,23,38,196
264,2016-04-24,MN,117,6,50
265,2015-03-22,MN,163,18,160
266,2015-10-15,MJ,55,38,77
267,2014-07-10,MN,240,13,82
268,2013-04-13,MN,14,63,137
269,2016-06-15,SV,86,18,80
270,2016-12-04,MJ,174,0,126
271,2016-07-09,SV,52,34,204
272,2014-02-16,MJ,151,34,134
273,2014-07-10,MJ,86,65,66
274,2015-01-01,SV,45,59,175
275,2013-02-28,MN,202,30,152
276,2016-10-03,MJ,93,39,61
277,2013-12-20,SV,201,1,5
278,2015-07-19,MJ,179,42,189
279,2015-04-10,MJ,138,44,6
280,2013-04-26,MN,168,11,237
281,2016-07-14,SV,123,50,181
282,2014-08-27,MJ,166,61,68
283,2016-05-26,MN,151,53,144
284,2016-03-21,MN,243,31,207
285,2016-09-13,MJ,18,52,202
286,2016-12-14,MN,228,2,131
287,2015-01-05,MJ,40,7,42
288,2013-02-04,SV,179,35,96
289,2016-11-04,MN,52,51,102
290,2016-11-24,SV,199,50,242
291,2013-06-11,MJ,81,63,236
292,2015-02-19,SV,202,10,90
293,2014-06-07,MN,189,31,134
294,2013-09-24,MJ,64,27,211
295,2015-05-04,MN,17,43,146
296,2014-04-23,MN,233,0,113
297,2014-08-29,MN,60,30,197
298,2014-12-23,MN,92,5,127
299,2015-10-25,MJ,152,21,138
300,2013-09-14,SV,15,38,139
301,2014-01-13,MN,105,41,159
302,2016-06-11,MJ,197,24,5
303,2015-09-20,MN,102,21,246
304,2013-11-16,MJ,184,45,191
305,2016-12-15,SV,68,50,179
306,2016-12-11,MN,122,60,205
307,2015-12-17,MN,166,1,92
308,2015-04-08,MN,62,24,63
309,2016-03-04,SV,64,42,31
310,2015-06-23,MN,115,11,101
311,2013-09-16,MJ,16,51,166
312,2015-09-14,SV,249,22,52
313,2014-10-06,SV,178,36,235
314,2015-02-08,SV,153,4,103
315,2013-12-21,MJ,7,16,181
316,2013-12-13,MN,182,56,91
317,2013-04-06,MJ,196,63,73
318,2014-11-17,MJ,225,56,228
319,2014-05-06,SV,60,8,80
320,2016-02-27,MJ,37,33,195
