0,0,116,49
1,1,42,64
2,2,231,40
3,3,159,34
4,4,56,24
5,5,132,51
6,6,231,45
7,7,79,41
8,8,97,14
9,9,205,34
10,10,185,26
11,11,171,53
12,12,97,57
13,13,237,29
14,14,169,32
15,15,143,15
16,16,1,11
17,17,204,28
18,18,158,5
19,19,56,33
20,20,49,40
21,21,220,5
22,22,31,41
23,23,61,3
24,24,101,9
25,25,97,29
26,26,116,8
27,27,236,62
28,28,184,5
29,29,85,54
30,30,65,20
31,31,238,0
32,32,110,18
33,33,49,30
34,34,177,35
35,35,225,34
36,36,192,19
37,37,237,46
38,38,27,7
39,39,212,18
40,40,75,50
41,41,39,56
42,42,155,32
43,43,31,1
44,44,138,33
45,45,214,33
46,46,21,22
47,47,87,60
48,48,232,18
49,49,165,59
50,50,15,38
51,51,87,3
52,52,236,54
53,53,58,60
54,54,15,7
55,55,210,25
56,56,1,42
57,57,198,1
58,58,119,34
59,59,18,46
60,60,10,2
61,61,30,59
62,62,181,26
63,63,107,44
64,64,67,14
65,65,178,0
66,66,4,45
67,67,26,62
68,68,195,57
69,69,78,0
70,70,122,54
71,71,75,53
72,72,214,22
73,73,147,12
74,74,77,19
75,75,144,9
76,76,59,36
77,77,249,40
78,78,124,39
79,79,186,3
80,80,239,35
81,81,194,57
82,82,137,60
83,83,11,37
84,84,53,48
85,85,90,27
86,86,76,65
87,87,189,55
88,88,233,36
89,89,56,33
90,90,2,62
91,91,145,1
92,92,161,31
93,93,60,62
94,94,238,33
95,95,64,44
96,96,156,19
97,97,182,62
98,98,103,41
99,99,35,4
100,100,169,20
101,101,93,37
102,102,88,55
103,103,96,39
104,104,210,12
105,105,237,63
106,106,126,47
107,107,75,14
108,108,84,48
109,109,23,47
110,110,148,19
111,111,114,7
112,112,136,60
113,113,165,21
114,114,32,27
115,115,239,57
116,116,61,39
117,117,212,13
118,118,8,59
119,119,218,59
120,120,144,50
121,121,16,10
122,122,56,27
123,123,71,11
124,124,113,6
125,125,77,14
126,126,219,7
127,127,126,59
128,128,156,12
129,129,138,64
130,130,21,44
131,131,97,53
132,132,35,0
133,133,44,57
134,134,105,47
135,135,158,4
136,136,68,60
137,137,55,13
138,138,170,56
139,139,224,48
140,140,58,33
141,141,91,28
142,142,117,63
