0,94,769,W
1,245,18,R
2,161,197,W
3,104,1289,R
4,67,1931,C
5,31,1078,R
6,171,1407,W
7,240,104,W
8,184,1575,W
9,242,509,W
10,36,1402,R
11,94,1512,R
12,184,747,R
13,99,705,W
14,155,326,R
15,150,1876,W
16,166,175,C
17,82,302,C
18,200,1388,W
19,58,1179,C
20,142,1775,R
21,141,639,C
22,94,16,C
23,66,1643,C
24,118,1119,W
25,98,766,R
26,145,740,W
27,130,629,R
28,131,1193,R
29,50,912,W
30,100,1931,W
31,63,1280,R
32,53,609,W
33,31,514,C
34,32,588,C
35,56,1978,R
36,234,1920,C
37,218,77,R
38,112,1434,W
39,18,1471,C
40,36,1233,C
41,147,1624,R
42,21,1408,C
43,146,1990,C
44,77,1804,C
45,6,526,W
46,210,618,C
47,119,1819,W
48,235,535,C
49,9,1889,R
50,3,1159,R
51,146,1330,R
52,159,1443,C
53,112,1631,C
54,204,560,W
55,198,404,C
56,203,1210,R
57,155,1394,R
58,132,783,C
59,88,1791,W
60,181,119,R
61,158,1601,W
62,145,980,C
63,121,1554,R
64,14,1465,R
65,39,922,R
66,53,110,W
67,75,1671,R
68,6,1146,R
69,14,1355,W
70,1,1765,C
71,117,1755,W
72,31,445,W
73,89,1423,R
74,73,1584,C
75,184,341,R
76,58,1548,R
77,65,1124,C
78,177,1978,C
79,60,1639,R
80,160,983,C
81,196,210,C
82,193,39,R
83,230,196,R
84,163,929,W
85,191,105,W
86,213,1914,W
87,4,762,W
88,22,608,W
89,129,1538,C
90,142,1374,C
91,94,642,W
92,107,254,C
93,210,1512,R
94,19,1302,R
95,30,1510,C
96,46,750,R
97,95,1332,W
98,62,467,W
99,99,36,W
100,105,489,C
101,172,929,C
102,160,1059,C
103,143,1326,R
104,7,1594,C
105,46,745,W
106,238,1929,W
107,245,462,W
108,90,385,C
109,79,82,C
110,16,1332,C
111,178,894,C
112,115,236,C
113,167,1495,W
114,17,1388,C
115,132,340,C
116,239,1722,R
117,214,1323,R
118,162,1681,C
119,221,1938,W
120,200,1585,R
121,151,1485,R
122,243,1789,W
123,159,483,C
124,100,1976,C
125,188,1583,W
126,102,598,C
127,204,1795,R
128,163,1423,C
129,126,413,C
130,111,847,C
131,113,1301,R
132,33,1089,C
133,21,1359,R
134,78,1146,W
135,130,630,W
136,22,1488,R
137,137,178,C
138,240,1340,R
139,78,271,C
140,102,1466,R
141,239,694,R
142,80,936,W
143,74,1855,W
144,28,923,W
145,92,1894,R
146,166,824,W
147,161,1364,R
148,122,1389,R
149,93,1267,C
150,23,1155,C
151,20,869,W
152,20,942,R
153,82,514,R
154,75,720,R
155,87,1468,R
156,141,1614,R
157,103,1729,R
158,87,1842,W
159,26,1133,W
160,218,1069,W
161,93,138,R
162,156,1571,R
163,156,55,R
164,191,34,R
165,62,1723,W
166,115,1080,C
167,228,1613,C
168,196,1602,R
169,3,1904,R
170,177,351,C
171,166,831,R
172,182,1282,W
173,127,1901,W
174,116,1470,W
175,16,1031,W
176,205,1853,R
177,28,784,C
178,122,369,W
179,82,1093,R
180,161,1792,W
181,66,1190,W
182,90,1603,W
183,249,1874,C
184,16,733,C
185,66,321,R
186,201,1419,W
187,151,1162,W
188,51,1997,R
189,97,1181,R
190,220,567,R
191,214,681,W
192,211,1705,R
193,123,926,W
194,239,623,R
195,115,412,W
196,66,246,C
197,217,430,C
198,30,113,W
199,122,1902,R
200,22,702,R
201,151,1993,W
202,116,1222,W
