0,0,2014-04-18 14:03,2014-04-18 18:13
1,1,2014-05-19 06:04,2014-05-19 20:56
2,2,2014-05-22 02:13,2014-05-22 16:07
3,3,2014-05-04 20:06,2014-05-04 20:56
4,4,2014-04-16 17:39,2014-04-17 05:04
5,5,2014-04-24 08:40,2014-04-24 22:12
6,6,2014-04-17 19:07,2014-04-18 01:07
7,7,2014-05-13 04:12,2014-05-13 22:55
8,8,2014-04-30 20:01,2014-05-01 08:52
9,9,2014-05-20 00:07,2014-05-20 15:56
10,10,2014-05-17 05:08,2014-05-17 23:44
11,11,2014-05-02 04:13,2014-05-02 11:03
12,12,2014-05-02 22:26,2014-05-03 14:15
13,13,2014-05-25 06:58,2014-05-25 15:42
14,14,2014-04-10 15:38,2014-04-10 20:22
15,15,2014-04-30 21:05,2014-05-01 07:29
16,16,2014-04-05 19:39,2014-04-06 05:22
17,17,2014-05-17 21:57,2014-05-18 02:35
18,18,2014-05-06 01:04,2014-05-06 17:00
19,19,2014-05-27 13:32,2014-05-27 17:21
20,20,2014-05-14 18:29,2014-05-15 05:02
21,21,2014-05-03 09:08,2014-05-03 19:20
22,22,2014-04-13 12:05,2014-04-14 01:58
23,23,2014-05-03 20:48,2014-05-04 05:22
24,24,2014-04-27 10:53,2014-04-28 01:29
25,25,2014-05-04 05:39,2014-05-04 18:55
26,26,2014-04-12 14:23,2014-04-13 04:14
27,27,2014-05-25 05:56,2014-05-25 19:49
28,28,2014-04-08 19:20,2014-04-09 03:07
29,29,2014-05-04 10:36,2014-05-04 20:58
30,30,2014-04-12 17:08,2014-04-13 06:34
31,31,2014-05-06 16:37,2014-05-07 07:36
32,32,2014-04-07 10:04,2014-04-07 11:58
33,33,2014-04-10 10:27,2014-04-10 22:53
34,34,2014-05-21 19:14,2014-05-22 04:19
35,35,2014-05-24 15:04,2014-05-25 01:31
36,36,2014-04-04 22:18,2014-04-05 13:08
37,37,2014-04-27 15:39,2014-04-27 19:23
38,38,2014-05-02 09:08,2014-05-02 15:39
39,39,2014-05-14 06:39,2014-05-15 00:02
40,40,2014-04-11 23:21,2014-04-12 10:58
41,41,2014-05-25 01:13,2014-05-25 07:53
42,42,2014-04-16 01:44,2014-04-16 10:53
43,43,2014-05-05 22:33,2014-05-06 01:36
44,44,2014-05-09 05:56,2014-05-09 22:35
45,45,2014-05-08 03:22,2014-05-08 13:47
46,46,2014-05-04 03:59,2014-05-04 10:02
47,47,2014-04-26 07:33,2014-04-26 15:07
48,48,2014-05-24 23:22,2014-05-25 05:14
49,49,2014-04-25 10:54,2014-04-25 22:35
50,50,2014-05-20 23:46,2014-05-21 13:33
51,51,2014-05-04 18:55,2014-05-05 01:57
52,52,2014-05-18 11:30,2014-05-18 15:05
53,53,2014-05-28 17:33,2014-05-29 03:02
54,54,2014-05-06 07:29,2014-05-06 14:48
55,55,2014-04-24 01:11,2014-04-24 17:58
56,56,2014-05-26 19:40,2014-05-27 12:09
57,57,2014-04-26 22:15,2014-04-27 09:58
58,58,2014-05-18 08:36,2014-05-18 16:46
59,59,2014-04-22 06:13,2014-04-22 14:37
60,60,2014-04-18 19:11,2014-04-19 13:05
61,61,2014-05-20 00:16,2014-05-20 10:51
62,62,2014-05-27 11:07,2014-05-27 15:55
63,63,2014-04-23 08:03,2014-04-23 18:03
64,64,2014-04-11 12:59,2014-04-12 03:21
65,65,2014-05-31 00:12,2014-05-31 17:22
66,66,2014-04-21 20:56,2014-04-22 02:56
67,67,2014-04-29 05:43,2014-04-29 21:48
68,68,2014-05-12 09:33,2014-05-12 17:42
69,69,2014-05-16 06:34,2014-05-16 16:24
70,70,2014-04-17 22:34,2014-04-18 16:31
71,71,2014-04-25 04:34,2014-04-25 22:18
72,72,2014-05-17 23:03,2014-05-18 05:52
73,73,2014-04-29 21:29,2014-04-30 06:18
74,74,2014-04-03 17:11,2014-04-04 13:39
75,75,2014-05-11 09:51,2014-05-11 17:36
76,76,2014-04-23 14:57,2014-04-23 21:22
77,77,2014-04-28 16:36,2014-04-29 01:31
78,78,2014-05-18 20:27,2014-05-19 12:18
79,79,2014-05-03 04:38,2014-05-03 10:13
80,80,2014-04-06 04:14,2014-04-06 11:08
81,81,2014-05-25 04:53,2014-05-25 05:21
82,82,2014-04-19 16:27,2014-04-20 04:49
83,83,2014-04-19 12:25,2014-04-20 05:12
84,84,2014-05-22 09:54,2014-05-22 14:06
85,85,2014-04-14 00:25,2014-04-14 10:54
86,86,2014-05-23 15:05,2014-05-24 07:47
87,87,2014-05-14 15:19,2014-05-15 07:11
88,88,2014-04-05 13:01,2014-04-05 21:55
